Adj Close,Close,Date,High,Low,Open,Volume
97.49601,104.269997,2017-06-01,104.279999,103.43,103.690002,4769400
96.411369,103.110001,2017-06-02,103.940002,102.769997,103.82,5864000
96.486191,103.190002,2017-06-05,103.580002,102.629997,102.800003,4523300
97.402512,104.169998,2017-06-06,104.449997,102.760002,103.110001,4683900
97.028496,103.769997,2017-06-07,104.43,102.550003,103.970001,7197100
97.243546,104.0,2017-06-08,104.739998,103.440002,103.769997,6457800
99.48764,106.400002,2017-06-09,106.489998,104.010002,104.010002,6595600
101.021095,108.040001,2017-06-12,108.43,106.400002,106.400002,8690600
101.10524,108.129997,2017-06-13,108.489998,107.160004,108.339996,6099700
99.674652,106.599998,2017-06-14,107.989998,105.739998,107.910004,6202300
99.422188,106.330002,2017-06-15,106.800003,105.870003,106.5,5441400
101.310959,108.349998,2017-06-16,108.360001,106.209999,106.940002,11633900
100.478775,107.459999,2017-06-19,108.379997,107.139999,108.309998,4577800
99.562439,106.480003,2017-06-20,106.599998,105.379997,106.25,5171200
97.701721,104.489998,2017-06-21,106.900002,103.919998,105.889999,6989400
97.664307,104.449997,2017-06-22,105.139999,104.040001,104.480003,4197400
98.178589,105.0,2017-06-23,105.419998,104.239998,104.25,5773300
97.374466,104.139999,2017-06-26,105.190002,104.029999,105.029999,3602500
97.309013,104.07,2017-06-27,104.889999,104.029999,104.730003,4170300
97.505363,104.279999,2017-06-28,104.900002,104.040001,104.43,4162300
97.355766,104.120003,2017-06-29,105.150002,104.050003,104.379997,4288600
97.552124,104.330002,2017-06-30,104.720001,103.889999,104.529999,5497000
99.394135,106.300003,2017-07-03,106.959999,104.239998,104.239998,4419100
97.823273,104.620003,2017-07-05,106.300003,104.269997,105.989998,4482700
97.075241,103.82,2017-07-06,105.129997,103.709999,104.669998,5084800
96.766685,103.489998,2017-07-07,103.760002,102.809998,103.589996,6457000
96.345917,103.040001,2017-07-10,103.580002,102.599998,103.440002,4629000
96.420723,103.120003,2017-07-11,103.5,102.550003,103.150002,4322400
97.140709,103.889999,2017-07-12,104.75,103.470001,104.0,3978100
97.365105,104.129997,2017-07-13,104.209999,103.459999,103.800003,4439100
97.654961,104.440002,2017-07-14,104.639999,103.730003,104.379997,3644300
97.439911,104.209999,2017-07-17,104.970001,104.080002,104.32,5572400
96.98175,103.720001,2017-07-18,104.599998,103.510002,104.599998,4339400
97.673668,104.459999,2017-07-19,104.480003,103.510002,103.559998,4932000
97.832626,104.629997,2017-07-20,105.370003,103.82,105.0,5367800
96.542282,103.25,2017-07-21,104.379997,103.150002,104.18,5304100
96.495537,103.199997,2017-07-24,103.57,102.919998,103.18,4080400
97.608215,104.389999,2017-07-25,105.150002,104.32,104.449997,7093800
98.290794,105.120003,2017-07-26,106.080002,104.199997,104.629997,5881400
99.216469,106.110001,2017-07-27,106.32,104.610001,104.879997,5888400
101.095894,108.120003,2017-07-28,109.129997,106.360001,106.709999,7812600
102.09639,109.190002,2017-07-31,110.0,108.150002,108.389999,7561200
103.583092,110.779999,2017-08-01,110.970001,109.419998,109.540001,8162900
103.283875,110.459999,2017-08-02,111.199997,109.849998,110.389999,6212300
102.320793,109.43,2017-08-03,110.449997,109.050003,110.230003,5605400
102.956612,110.110001,2017-08-04,110.199997,109.43,109.43,4643500
102.648056,109.779999,2017-08-07,110.290001,109.580002,109.809998,4762800
103.181023,110.349998,2017-08-08,110.709999,109.769997,110.0,4107300
103.685936,110.889999,2017-08-09,111.410004,110.260002,110.739998,3966800
102.956612,110.110001,2017-08-10,111.440002,110.029999,111.230003,4950700
102.133789,109.230003,2017-08-11,110.489998,109.129997,110.199997,3383000
101.64756,108.709999,2017-08-14,109.82,108.32,109.260002,4262300
