index,close,returns,mfi,normal_close,normal_returns,normal_mfi
14,117.139999,-0.0073995914605308665,50.217575546962735,-0.6527486499751673,0.026131932967442845,-0.1118009050996589
15,115.870003,-0.01090089322478725,42.191316012728485,-0.6807313764701348,-0.012474698486836258,-0.3211948355691254
16,115.610001,-0.002246432563054434,40.469444276122694,-0.6864601857373644,0.08295254420729256,-0.3661160705671127
17,116.360001,0.006466375884018302,48.967244186207644,-0.6699349015071578,0.17902315088329457,-0.14442030855914623
18,115.510002,-0.007331718605912348,46.15005073822027,-0.6886635349343462,0.026880323840448195,-0.2179169611967544
19,115.18,-0.0028610015365806993,51.909705099419426,-0.6959347040630615,0.07617608234776979,-0.06765560225452094
20,115.269997,0.0007810545085421492,52.625338714038854,-0.6939517360565737,0.11633472188729825,-0.048985718144483936
21,114.239998,-0.008975695502797238,52.39367391017222,-0.716646437699012,0.00875323441750496,-0.05502953016254386
22,116.449997,0.01916048948394876,53.656406703365846,-0.6679519555343822,0.3189930816085748,-0.022086590606237966
23,116.190002,-0.002235171160264189,53.53830280151544,-0.6736806105656252,0.08307671654559814,-0.02516775688384909
24,116.480003,0.002492810795914275,57.26872551953533,-0.6672908119629,0.13520917161361484,0.07215377525787225
25,116.160004,-0.0027510246921228594,56.05437639372777,-0.6743415778674091,0.07738872718342284,0.040473098184019785
26,116.260002,0.0008604939642786333,49.99991196613565,-0.6721382507041396,0.11721065032678776,-0.11747944471266791
27,114.129997,-0.01849095619633174,50.17324598680754,-0.7190701680864877,-0.0961655036749525,-0.11295740157193057
28,114.5,0.003236699714600529,55.17716302840841,-0.7109176284317824,0.1434115623986153,0.017587823462823726
29,115.639999,0.009907085506324208,62.337579544998384,-0.6857992184355806,0.21696167126037716,0.20439311574276098
30,114.83000200000001,-0.007029117295469321,66.58365319177821,-0.7036464593030667,0.030216916358441842,0.3151672623012891
31,115.57,0.006423615782200775,61.050169809975934,-0.6873415562633545,0.1785516623904519,0.17080638914973356
32,113.57,-0.017457020083794968,65.9949344569955,-0.7314089808772386,-0.08476494664457188,0.2998084106106149
33,113.110001,-0.004058581519313912,57.52951953084803,-0.7415444665047195,0.06297112826400704,0.07895752772049103
34,114.220001,0.009765616607510076,56.866044999497475,-0.7170870458440137,0.2154017835367551,0.06164840143404171
35,114.220001,0.0,65.93982147980145,-0.7170870458440137,0.10772252974070273,0.29837058980936715
36,112.709999,-0.013308282610091015,53.71165232922506,-0.7503579954949213,-0.039019452702017454,-0.020645309186098748
37,112.75,0.000354839001127703,46.43813311913901,-0.7494766249689309,0.11163511410632117,-0.21040129318448986
38,111.760002,-0.00881924553859116,40.50643470330033,-0.7712899560853792,0.010478308837196415,-0.3651510418506312
39,113.110001,0.01200707254004426,40.66794608114907,-0.7415444665047195,0.24011689492525698,-0.3609374349919148
40,111.83000200000001,-0.011380926459855339,39.80355176969634,-0.7697475962238931,-0.01776772017987363,-0.38348827845499045
41,112.690002,0.007660824787676042,45.60026027743089,-0.750798603639923,0.19219358054612481,-0.23226022844699412
42,113.660004,0.00857086734959328,46.927946502286034,-0.7294258586347646,0.20222804205821576,-0.19762274434038174
43,113.309998,-0.003084163319872617,45.73628050839571,-0.7371377901444682,0.07371541905670936,-0.22871165010067918
44,111.870003,-0.012789898066102433,43.424435966779285,-0.7688662256979031,-0.03330355547611463,-0.28902445373463626
45,112.230003,0.003212854083304967,35.51877190593548,-0.7609340892674039,0.14314863176275283,-0.4952722162958332
46,112.339996,0.0009795877391058432,41.67973026540828,-0.7585105351496266,0.11852382176496269,-0.3345413950650684
47,113.190002,0.007537888815643666,49.040175112095945,-0.7397817474864516,0.19083804363891527,-0.14251764229731
48,115.129997,0.016994058314338527,49.11001290798183,-0.6970364557795454,0.29510522064496303,-0.14069567148842999
49,114.690002,-0.0038290448133296018,47.84102738039578,-0.7067311790260384,0.06550208377993286,-0.17380173617481987
50,111.779999,-0.02570020891933512,50.16146138312299,-0.7708493479403771,-0.1756573560422851,-0.11326484546581495
51,111.5,-0.0025080539952344128,50.05442421549621,-0.7770187653526088,0.08006781078733317,-0.11605729606376691
52,113.5,0.01777824602128397,58.45499441572134,-0.7329513407387243,0.3037519605809733,0.10310187825735517
53,112.690002,-0.007162133209395776,53.0308623368992,-0.750798603639923,0.028750234332077462,-0.03840617172852734
54,111.279999,-0.012591165083214914,54.17809377434476,-0.781866204093848,-0.031112253056405165,-0.008476501647433743
55,111.720001,0.003946211399078034,48.6972451307868,-0.7721713266113692,0.1512348972493163,-0.15146420779969194
56,110.33000200000001,-0.012519857128274253,42.22326891761234,-0.8027981646843063,-0.03032598551321411,-0.3203612287918951
57,110.639999,0.0028057854185298266,37.118891794812725,-0.7959677799702911,0.1386601440585526,-0.45352731740173846
58,110.459999,-0.0016282228981897848,43.86724821158521,-0.7999338481855407,0.08976914965860014,-0.27747209911609505
59,110.589996,0.0011761774976418548,52.3232787613848,-0.7970695316867751,0.12069149221055693,-0.056866041532218414
60,109.370003,-0.011092976140672945,42.26684035390165,-0.8239505064652586,-0.014592674840079062,-0.319224510715199
61,108.870003,-0.004582119328070612,40.21621990409074,-0.8349673626187295,0.057198409259496014,-0.37272234168559226
62,109.309998,0.004033326560267477,32.6692014424182,-0.8252726393722369,0.15219546081925903,-0.5696135401666305
63,109.989998,0.006201570376397713,35.10366004366824,-0.810289715003516,0.17610330868513357,-0.5061019065212602
64,108.230003,-0.016130814359752117,35.23161126570503,-0.8490689384951726,-0.0701417181804147,-0.5027638373775479
