Adj Close,Close,Date,High,Low,Open,Volume
148.959961,155.149994,2017-06-01,155.160004,152.740005,153.520004,3385100
149.151978,155.350006,2017-06-02,155.860001,154.419998,154.789993,3485600
148.614319,154.789993,2017-06-05,155.619995,154.229996,155.529999,2651800
148.047852,154.199997,2017-06-06,154.660004,153.649994,154.440002,3260300
148.777542,154.960007,2017-06-07,155.300003,154.350006,154.690002,3159000
147.375778,153.5,2017-06-08,155.229996,153.380005,154.960007,4014000
146.857346,152.960007,2017-06-09,154.0,152.779999,154.0,4705300
146.108459,152.179993,2017-06-12,153.300003,151.729996,152.800003,4473900
147.846252,153.990005,2017-06-13,154.039993,152.059998,152.309998,3753800
150.505722,156.759995,2017-06-14,157.279999,153.960007,154.5,5999400
150.515305,156.770004,2017-06-15,157.270004,154.919998,156.130005,3972300
150.390533,156.639999,2017-06-16,156.690002,155.410004,156.25,9105400
152.473938,158.809998,2017-06-19,159.029999,156.389999,156.910004,5196100
151.379425,157.669998,2017-06-20,159.220001,157.600006,158.729996,4201200
150.342499,156.589996,2017-06-21,158.529999,156.429993,157.910004,4071300
149.276794,155.479996,2017-06-22,157.070007,155.470001,156.440002,3347400
145.273178,151.309998,2017-06-23,155.229996,150.910004,155.160004,11422200
145.378784,151.419998,2017-06-26,151.970001,151.130005,151.669998,4128500
146.166061,152.240005,2017-06-27,153.25,150.75,151.059998,4567100
147.116577,153.229996,2017-06-28,153.449997,152.360001,152.75,5087000
146.089279,152.160004,2017-06-29,153.0,151.520004,152.770004,2855400
147.2798,153.399994,2017-06-30,154.0,152.270004,152.509995,3640900
147.865448,154.009995,2017-07-03,154.789993,153.710007,154.389999,1658500
146.598129,152.690002,2017-07-05,154.289993,151.460007,154.009995,4432500
145.983658,152.050003,2017-07-06,152.479996,151.220001,151.770004,3408500
146.156464,152.229996,2017-07-07,152.869995,151.899994,152.039993,3775400
145.148361,151.179993,2017-07-10,152.259995,151.0,152.220001,5081100
144.591507,150.600006,2017-07-11,151.809998,150.5,151.449997,5642000
146.50209,152.589996,2017-07-12,153.139999,151.089996,151.460007,4275900
147.174194,153.289993,2017-07-13,154.130005,152.600006,152.820007,3288000
146.780533,152.880005,2017-07-14,153.669998,151.820007,153.220001,3588400
147.750244,153.889999,2017-07-17,154.5,152.720001,152.899994,4166600
146.098862,152.169998,2017-07-18,153.860001,151.979996,153.75,3783600
147.183792,153.300003,2017-07-19,154.0,152.550003,152.550003,2808400
141.163925,147.029999,2017-07-20,152.570007,145.610001,152.559998,18264100
140.799088,146.649994,2017-07-21,147.460007,146.130005,147.029999,9120200
138.811676,144.580002,2017-07-24,146.690002,144.25,146.610001,7295900
141.106323,146.970001,2017-07-25,147.399994,145.279999,145.740005,5002400
140.837494,146.690002,2017-07-26,147.25,145.960007,146.860001,2836000
